85,2,0,1
90,3,0,1
0,94748,1,0,1
0,9916562,1,0,1
0,9568399,2,0,1
0,9606697,2,0,1
0,94899225,2,0,1
0,9446788,1,0,1
0,92397445,1,0,1
0,9161073,1,0,1
0,9088456,1,0,1
0,92107797,2,0,1
0,9106759,1,0,1
0,94547045,1,0,1
0,935922,2,0,1
0,9601402,1,0,1
0,9405909,1,0,1
0,9840781,1,0,1
0,96255666,1,0,1
0,9625044,1,0,1
0,97205955,3,0,1
0,9896586,2,0,1
0,9623877,1,0,1
0,98774105,1,0,1
0,95456105,1,0,1
0,9457324,3,0,1
0,9494403,2,0,1
0,96841943,1,0,1
0,96619314,1,0,1
0,9377636,1,0,1
0,96032846,2,0,1
0,9994812,2,0,1
0,9693381,1,0,1
0,948708,1,0,1
0,93616205,1,0,1
0,9620947,1,0,1
0,9389732,2,0,1
0,8586011,1,0,1
0,8581713,1,0,1
0,8857555,1,0,1
0,76899874,1,0,1
0,94495255,2,0,1
0,9364174,1,0,1
0,9321482,1,0,1
0,9572246,2,0,1
0,9181797,3,0,1
0,9061499,2,0,1
0,92868114,1,0,1
0,8483066,1,0,1
0,94840604,1,0,1
0,75819314,2,0,1
0,7876669,1,0,1
0,93955785,1,0,1
0,88587624,1,0,1
0,8316374,1,0,1
0,9795604,2,0,1
0,9760349,2,0,1
0,8917386,1,0,1
0,9752371,1,0,1
0,9180095,2,0,1
0,86071926,1,0,1
0,93643534,3,0,1
0,9757289,1,0,1
0,9902847,1,0,1
0,98769146,2,0,1
0,99758524,1,0,1
0,9164832,2,0,1
0,93754584,1,0,1
0,914226,1,0,1
0,89832085,1,0,1
0,9681843,2,0,1
0,9411072,3,0,1
0,95591456,1,0,1
0,92695624,1,0,1
0,88805026,1,0,1
0,96085715,2,0,1
0,92910594,2,0,1
0,9402922,1,0,1
0,88311464,1,0,1
0,94721246,1,0,1
0,8753198,3,0,1
0,8857755,2,0,1
0,8615416,1,0,1
0,9688908,1,0,1
0,9274789,1,0,1
0,9749626,1,0,1
0,86828315,2,0,1
0,8460045,1,0,1
0,9875437,1,0,1
0,8061775,2,0,1
0,9493635,2,0,1
0,83456266,3,0,1
0,7735507,1,0,1
0,7712656,1,0,1
0,82831204,1,0,1
0,81431055,1,0,1
0,8513141,3,0,1
0,9842938,1,0,1
0,9439827,1,0,1
0,682901,1,0,1
0,8610179,2,0,1
0,7691599,3,0,1
0,99841803,1,0,1
0,8042265,1,0,1
0,9888832,2,0,1
0,93463284,1,0,1
0,9426722,2,0,1
0,91661483,1,0,1
0,7978156,1,0,1
0,771312,2,0,1
0,97636133,3,0,1
0,8671108,2,0,1
0,68709546,1,0,1
0,9203503,1,0,1
0,75018495,1,0,1
0,8029261,1,0,1
0,9829173,1,0,1
0,9300929,1,0,1
0,98195595,1,0,1
0,99555904,1,0,1
0,91388696,2,0,1
0,7231762,3,0,1
0,97247404,1,0,1
0,80348825,1,0,1
0,9686414,1,0,1
0,99245465,2,0,1
0,80958015,1,0,1
0,8023285,1,0,1
0,97151375,1,0,1
0,8908661,1,0,1
0,9043483,2,0,1
0,80145633,1,0,1
0,91350526,1,0,1
0,9216613,1,0,1
0,9322311,1,0,1
0,82684195,2,0,1
0,9029661,2,0,1
95,1,0,1
90,2,0,1
98,1,0,1
97,2,0,1
96,2,0,1
0,95498645,1,0,1
0,86331004,1,0,1
0,92808586,1,0,1
0,94305676,2,0,1
0,9204526,2,0,1
95,1,0,1
95,1,0,1
9,1,0,1
75,2,0,1
85,2,0,1
0,26264793,1,0,1
0,2717629,2,0,1
0,27667883,1,0,1
0,9570436,1,0,1
0,29436204,3,0,1
0,9429604,1,0,1
0,927514,1,0,1
0,96052134,1,0,1
0,97577,2,0,1
0,9953026,1,0,1
0,9611238,1,0,1
0,988666,1,0,1
0,97902983,2,0,1
0,9740119,3,0,1
0,933455,2,0,1
0,95121473,1,0,1
0,9740227,1,0,1
0,9613338,1,0,1
0,9746542,2,0,1
0,94583017,3,0,1
0,79499996,1,0,1
0,84000003,2,0,1
0,84000003,2,0,1
0,88500005,3,0,1
0,84000003,2,0,1
0,39375,1,0,1
0,47250003,2,0,1
0,47250003,2,0,1
1,1025,3,0,1
0,47250003,2,0,1
1,030125,1,0,1
1,5577499,1,0,1
1,5577499,1,0,1
1,5577499,1,0,1
1,65825,3,0,1
0,574875,1,0,1
0,5985,2,0,1
0,5985,2,0,1
1,24425,3,0,1
0,5985,2,0,1
